no,Cities,Population,Latitude,Longitude
1,Kuala lumpur,1410300,3.16,101.71
2,Klang,686600,3.04,101.45
3,Johor bahru,685400,1.48,103.75
4,Ipoh,623900,4.6,101.07
5,Ampang jaya,516500,3.15,101.77
6,Petaling jaya,476100,3.1,101.62
7,Kuching,460600,1.55,110.34
8,Subang jaya,460100,3.15,101.53
9,Shah alam,347400,3.07,101.56
10,Kota kinabalu,331900,5.97,116.07
11,Seremban,316300,2.71,101.95
12,Kuantan,314500,3.82,103.34
13,Sandakan,299300,5.85,118.11
14,Kuala terengganu,277300,5.33,103.14
15,Kota bahru,274700,6.12,102.24
16,Tawau,232500,4.26,117.88
17,Kajang-sungai chua,225300,2.98,101.77
18,Taiping,216700,4.86,100.72
19,Selayang baru,204000,3.27,101.65
20,Alor setar,202700,6.11,100.37
21,Georgetown,196300,5.37,100.31
22,Batu sembilan cheras,192900,,
23,Sungai petani,189800,5.65,100.48
24,Miri,182100,4.4,113.97
25,Sibu,180800,2.3,111.83
26,Bukit mertajam,179800,5.37,100.46
27,Melaka,162500,2.21,102.25
28,Kluang,146600,2.04,103.32
29,Bandar penggaram,133900,1.85,102.93
30,Kulim,127700,5.36,100.55
31,Sungai ara,122100,5.33,100.27
32,Bintulu,111700,3.17,113.03
33,Bandar maharani,111200,2.05,102.56
34,Butterworth,107800,5.4,100.37
35,Gelugor,107300,5.48,100.5
36,Ayer itam,104200,5.47,100.45
37,Sekudai,101500,1.53,103.67
38,Pasir gudang,97100,1.45,103.89
39,Taman greenwood,86600,,
40,Lahad datu,81100,5.03,118.34
41,Port dickson,75200,2.53,101.8
42,Rawang,71500,3.32,101.58
43,Cukai,68300,4.23,103.45
44,Putatan,67200,5.88,116.05
45,Teluk intan,65900,4.02,101.03
46,Segamat,61600,2.52,102.81
47,Donggongon,61400,5.92,116.08
48,Perai,60700,5.38,100.38
49,Kangar,59100,6.44,100.19
50,Labuan,58900,5.29,115.24
51,Balakong,55000,3.03,101.75
52,Dungun,54500,3.22,101.32
53,Ulu tiram,54200,1.6,103.82
54,Jitra,53800,6.27,100.42
55,Banting,52400,2.82,101.5
56,Kulai,52300,1.67,103.6
57,Bukit baru,51900,2.22,102.27
58,Val d'or,51400,5.25,100.5
59,Senai,49400,1.6,103.65
60,Semenyih,49000,2.95,101.85
61,Simpang empat,48500,4.95,100.63
62,Keningau,47700,5.35,116.15
63,Semporna,47100,4.47,118.6
64,Pontian kecil,44800,1.52,103.38
65,Bentong,44300,3.51,101.92
66,Gombak setia,43000,3.25,101.55
67,Kota tinggi,42400,1.73,103.9
68,Temerloh,39700,3.45,102.42
69,Pangkal kalong,37700,5.92,102.22
70,Kuala kangsar,37700,4.77,100.93
71,Sungai siput utara,37500,4.82,101.07
72,Batu gajah,37000,4.48,101.04
73,Kuala selangor,36800,3.35,101.25
74,Mentakab,35200,3.48,102.35
75,Lumut,34700,4.23,100.63
76,Nilai,34600,2.82,101.8
77,Raub,34400,3.79,101.85
78,Klebang,33200,2.22,102.2
79,Nibong tebal,33000,5.17,100.48
80,Bedong,32200,5.73,100.52
81,Pekan,30100,3.5,103.42
82,Ayer keroh,30100,2.27,102.28
83,Kampong koh,29600,4.19,100.7
84,Kudat,29100,6.9,116.84
85,Tangkak,29100,2.27,102.55
86,Masjid tanah,27800,2.35,102.12
87,Sarikel,27200,2.12,111.52
88,Tanah merah,27000,5.8,102.15
89,Jerantut,26900,3.93,102.37
90,Bidor,26400,4.12,101.28
91,Bahau,26400,2.81,102.4
92,Permatang kuching,26200,5.48,100.4
93,Parit buntar,25400,5.12,100.5
94,Tanjong tokong,25200,5.47,100.3
95,Sungai udang,24800,2.27,102.15
96,Tampin,24100,2.47,102.23
97,Batu berendam,23800,2.25,102.25
98,Sri aman,23700,1.25,111.45
99,Tapah,23100,4.17,101.2
100,Kuah,22700,6.32,99.85
101,Serendah,22600,3.37,101.62
102,Sungai besar,22500,3.67,100.98
103,Peringat,22400,6.03,102.28
104,Yong peng,22000,2.01,103.06
105,Bukit bakri,21900,2.05,102.67
106,Mersing,21800,2.43,103.83
107,Kampar,21500,4.31,101.15
108,Kuala krai,21200,5.33,102.2
109,Bukit beruntung,21000,,
110,Limbang,20600,4.75,115
111,Paka,20100,4.65,103.43
112,Kerteh,19900,4.52,103.45
113,Jenjarom,19800,2.88,101.5
114,Kuala pilah,19600,2.73,102.25
115,Kuala kubu baru,19300,3.57,101.65
116,Labis,19300,2.38,103.03
117,Alor gajah,19200,2.38,102.22
118,Lawan kuda baharu,19100,4.44,101.16
119,Marang,18900,5.2,103.22
120,Pekan nenas,18700,1.52,103.52
121,Kadok,18700,6,102.25
122,Pasir mas,18600,6.03,102.13
123,Wakaf baru,18500,6.12,102.2
124,Pengkalan kundang,18500,3.28,101.52
125,Kuala kedah,18400,6.1,100.3
126,Bagan serai,18200,5.01,100.53
127,Gua musang,18000,4.88,101.97
128,Batu arang,17900,3.32,101.47
129,Tanjong sepat,17700,2.67,101.57
130,Ayer tawar,17100,4.22,100.74
131,Tanjong bunga,17000,5.47,100.27
132,Kunak,17000,3.68,118.25
133,Ranau,17000,5.97,116.68
134,Kuang,16800,3.25,101.55
135,Bukit rambai,16500,2.25,102.18
136,Kepala batas,16500,5.52,100.43
137,Papar,16500,5.73,115.93
138,Simpang rengam,16300,1.83,103.32
139,Sekinchan,16300,3.5,101.1
140,Parit raja,16200,1.87,103.12
141,Tanjong malim,16200,3.68,101.52
142,Batang berjuntai,15900,3.38,101.42
143,Ayer molek,14700,2.2,102.32
144,Kuala lipis,14700,4.18,102.05
145,Kapit,14700,2.02,112.93
146,Pantai remis,14600,4.45,100.63
147,Gurun,14300,5.82,100.48
148,Bandar baru salak tinggi,14200,2.8,101.75
149,Batu delapan bazaar,13900,,
150,Kuala perlis,13800,6.4,100.13
151,Sabak,13700,3.77,100.98
152,Beaufort,13600,5.33,115.75
153,Bemban,13600,2.27,102.38
154,Kinarut,13500,5.82,116.05
155,Tanjong karang,13000,3.42,101.18
156,Jertih,12900,5.75,102.5
157,Tumpat,12700,6.2,102.17
158,Kelapa sawit,12300,1.67,103.53
159,Buloh kasap,12200,2.55,102.77
160,Juru,11800,5.32,100.45
161,Kuala sungai baru,11700,2.35,102.03
162,Bandar jengka pusat,11700,,
163,Bukit tinggi,11700,3.35,101.82
164,Kota samarahan,11500,,
165,Beranang,11400,2.88,101.87
166,Pulau sebang,11300,2.47,102.23
167,Kota belud,11000,6.35,116.43
168,Chaah,11000,2.23,103.03
169,Sungai pelek,11000,2.65,101.72
